Airline,C_Date,DateOut,DateBack,Destination,Price
Icelandair,2021-10-16,2021-10-16,2021-10-17,AMS,63325
Icelandair,2021-10-16,2021-10-16,2021-10-18,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-19,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-20,AMS,47525
Icelandair,2021-10-16,2021-10-16,2021-10-21,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-22,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-23,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-24,AMS,47525
Icelandair,2021-10-16,2021-10-16,2021-10-25,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-26,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-27,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-28,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-29,AMS,45525
Icelandair,2021-10-16,2021-10-16,2021-10-30,AMS,76675
Icelandair,2021-10-16,2021-10-16,2021-10-31,AMS,42025
Icelandair,2021-10-16,2021-10-16,2021-11-01,AMS,42025
Icelandair,2021-10-16,2021-10-16,2021-11-02,AMS,43825
Icelandair,2021-10-16,2021-10-16,2021-11-03,AMS,43825
Icelandair,2021-10-16,2021-10-16,2021-11-04,AMS,43825
Icelandair,2021-10-16,2021-10-16,2021-11-05,AMS,43825
Icelandair,2021-10-16,2021-10-16,2021-11-06,AMS,43825
Icelandair,2021-10-16,2021-10-16,2021-11-07,AMS,42025
Icelandair,2021-10-16,2021-10-17,2021-10-18,AMS,69325
Icelandair,2021-10-16,2021-10-17,2021-10-19,AMS,69325
Icelandair,2021-10-16,2021-10-17,2021-10-20,AMS,47525
Icelandair,2021-10-16,2021-10-17,2021-10-21,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-22,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-23,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-24,AMS,47525
Icelandair,2021-10-16,2021-10-17,2021-10-25,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-26,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-27,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-28,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-29,AMS,45525
Icelandair,2021-10-16,2021-10-17,2021-10-30,AMS,76675
Icelandair,2021-10-16,2021-10-17,2021-10-31,AMS,42025
Icelandair,2021-10-16,2021-10-17,2021-11-01,AMS,42025
Icelandair,2021-10-16,2021-10-17,2021-11-02,AMS,43825
Icelandair,2021-10-16,2021-10-17,2021-11-03,AMS,43825
Icelandair,2021-10-16,2021-10-17,2021-11-04,AMS,43825
Icelandair,2021-10-16,2021-10-17,2021-11-05,AMS,43825
Icelandair,2021-10-16,2021-10-17,2021-11-06,AMS,43825
Icelandair,2021-10-16,2021-10-17,2021-11-07,AMS,42025
Icelandair,2021-10-16,2021-10-17,2021-11-08,AMS,42025
Icelandair,2021-10-16,2021-10-18,2021-10-19,AMS,69325
Icelandair,2021-10-16,2021-10-18,2021-10-20,AMS,69325
Icelandair,2021-10-16,2021-10-18,2021-10-21,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-22,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-23,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-24,AMS,45525
Icelandair,2021-10-16,2021-10-18,2021-10-25,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-26,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-27,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-28,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-29,AMS,43525
Icelandair,2021-10-16,2021-10-18,2021-10-30,AMS,74675
Icelandair,2021-10-16,2021-10-18,2021-10-31,AMS,40025
Icelandair,2021-10-16,2021-10-18,2021-11-01,AMS,40025
Icelandair,2021-10-16,2021-10-18,2021-11-02,AMS,41825
Icelandair,2021-10-16,2021-10-18,2021-11-03,AMS,41825
Icelandair,2021-10-16,2021-10-18,2021-11-04,AMS,41825
Icelandair,2021-10-16,2021-10-18,2021-11-05,AMS,41825
Icelandair,2021-10-16,2021-10-18,2021-11-06,AMS,41825
