Airline,C_Date,DateOut,DateBack,Destination,Price
Icelandair,2021-10-22,2021-10-23,2021-10-24,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-10-25,AMS,63345
Icelandair,2021-10-22,2021-10-23,2021-10-26,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-10-27,AMS,63345
Icelandair,2021-10-22,2021-10-23,2021-10-28,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-10-29,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-10-30,AMS,86045
Icelandair,2021-10-22,2021-10-23,2021-10-31,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-01,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-02,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-11-03,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-11-04,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-11-05,AMS,61345
Icelandair,2021-10-22,2021-10-23,2021-11-06,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-07,AMS,57845
Icelandair,2021-10-22,2021-10-23,2021-11-08,AMS,57845
Icelandair,2021-10-22,2021-10-23,2021-11-09,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-10,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-11,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-12,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-13,AMS,59545
Icelandair,2021-10-22,2021-10-23,2021-11-14,AMS,57845
Icelandair,2021-10-22,2021-10-24,2021-10-25,AMS,97845
Icelandair,2021-10-22,2021-10-24,2021-10-26,AMS,97165
Icelandair,2021-10-22,2021-10-24,2021-10-27,AMS,91165
Icelandair,2021-10-22,2021-10-24,2021-10-28,AMS,89165
Icelandair,2021-10-22,2021-10-24,2021-10-29,AMS,89165
Icelandair,2021-10-22,2021-10-24,2021-10-30,AMS,112625
Icelandair,2021-10-22,2021-10-24,2021-10-31,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-01,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-02,AMS,89165
Icelandair,2021-10-22,2021-10-24,2021-11-03,AMS,89165
Icelandair,2021-10-22,2021-10-24,2021-11-04,AMS,89165
Icelandair,2021-10-22,2021-10-24,2021-11-05,AMS,89165
Icelandair,2021-10-22,2021-10-24,2021-11-06,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-07,AMS,85665
Icelandair,2021-10-22,2021-10-24,2021-11-08,AMS,85665
Icelandair,2021-10-22,2021-10-24,2021-11-09,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-10,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-11,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-12,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-13,AMS,87465
Icelandair,2021-10-22,2021-10-24,2021-11-14,AMS,85665
Icelandair,2021-10-22,2021-10-24,2021-11-15,AMS,85665
Icelandair,2021-10-22,2021-10-25,2021-10-26,AMS,76345
Icelandair,2021-10-22,2021-10-25,2021-10-27,AMS,76345
Icelandair,2021-10-22,2021-10-25,2021-10-28,AMS,68345
Icelandair,2021-10-22,2021-10-25,2021-10-29,AMS,68345
Icelandair,2021-10-22,2021-10-25,2021-10-30,AMS,93045
Icelandair,2021-10-22,2021-10-25,2021-10-31,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-01,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-02,AMS,68345
Icelandair,2021-10-22,2021-10-25,2021-11-03,AMS,68345
Icelandair,2021-10-22,2021-10-25,2021-11-04,AMS,68345
Icelandair,2021-10-22,2021-10-25,2021-11-05,AMS,68345
Icelandair,2021-10-22,2021-10-25,2021-11-06,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-07,AMS,64845
Icelandair,2021-10-22,2021-10-25,2021-11-08,AMS,64845
Icelandair,2021-10-22,2021-10-25,2021-11-09,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-10,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-11,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-12,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-13,AMS,66545
Icelandair,2021-10-22,2021-10-25,2021-11-14,AMS,64845
Icelandair,2021-10-22,2021-10-25,2021-11-15,AMS,64845
Icelandair,2021-10-22,2021-10-25,2021-11-16,AMS,66545
Icelandair,2021-10-22,2021-10-26,2021-10-27,AMS,63545
Icelandair,2021-10-22,2021-10-26,2021-10-28,AMS,67545
Icelandair,2021-10-22,2021-10-26,2021-10-29,AMS,43545
Icelandair,2021-10-22,2021-10-26,2021-10-30,AMS,68345
Icelandair,2021-10-22,2021-10-26,2021-10-31,AMS,41845
Icelandair,2021-10-22,2021-10-26,2021-11-01,AMS,41845
Icelandair,2021-10-22,2021-10-26,2021-11-02,AMS,43545
Icelandair,2021-10-22,2021-10-26,2021-11-03,AMS,43545
Icelandair,2021-10-22,2021-10-26,2021-11-04,AMS,43545
